Line,Rep,Score,Parental Temp,Experimental Temp
530,4,94,25,25
530,5,88,25,25
530,6,101,25,25
530,7,101,25,25
530,8,102,25,25
530,9,116,25,25
530,10,94,25,25
531,1,68,25,25
531,2,71,25,25
531,3,56,25,25
531,4,39,25,25
531,5,21,25,25
531,6,14,25,25
531,7,21,25,25
531,8,47,25,25
531,9,42,25,25
531,10,157,25,25
535,1,96,25,25
535,2,82,25,25
535,3,146,25,25
535,4,73,25,25
535,5,94,25,25
535,6,103,25,25
535,7,107,25,25
535,8,96,25,25
535,9,89,25,25
535,10,114,25,25
551,1,85,25,25
551,2,54,25,25
551,3,127,25,25
551,4,139,25,25
551,5,120,25,25
551,6,131,25,25
551,7,112,25,25
551,8,92,25,25
551,9,113,25,25
551,10,111,25,25
555,1,113,25,25
555,2,95,25,25
555,3,64,25,25
555,4,90,25,25
555,5,103,25,25
555,6,95,25,25
555,7,85,25,25
555,8,96,25,25
555,9,87,25,25
555,10,98,25,25
559,1,120,25,25
559,2,137,25,25
559,3,124,25,25
559,4,123,25,25
559,5,116,25,25
559,6,125,25,25
559,7,88,25,25
559,8,120,25,25
559,9,115,25,25
559,10,104,25,25
563,1,93,25,25
563,2,86,25,25
563,3,20,25,25
563,4,75,25,25
563,5,92,25,25
563,6,39,25,25
563,7,89,25,25
563,8,73,25,25
563,9,38,25,25
563,10,44,25,25
566,1,168,25,25
566,2,170,25,25
566,3,120,25,25
566,4,154,25,25
566,5,112,25,25
566,6,101,25,25
566,7,133,25,25
566,8,156,25,25
566,9,124,25,25
566,10,135,25,25
584,1,27,25,25
584,2,52,25,25
584,3,12,25,25
584,4,57,25,25
584,5,33,25,25
584,6,47,25,25
584,7,72,25,25
584,8,25,25,25
584,9,27,25,25
584,10,24,25,25
589,1,129,25,25
589,2,159,25,25
589,3,159,25,25
589,4,139,25,25
589,5,145,25,25
589,6,155,25,25
589,7,154,25,25
589,8,136,25,25
589,9,130,25,25
589,10,134,25,25
595,1,29,25,25
595,2,56,25,25
595,3,38,25,25
595,4,63,25,25
595,5,74,25,25
595,6,74,25,25
595,7,70,25,25
595,8,53,25,25
595,9,48,25,25
595,10,67,25,25
596,1,41,25,25
596,2,42,25,25
